configuration_id,TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals,Size,Length,MutationScore
Default,br.com.swconsultoria.nfe.schema.envConfRecebto.TEvento,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,404,404,41,121,0.7894736842105263
Default,br.com.swconsultoria.nfe.schema.envEpec.TransformType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9583333333333334,36,33,5,16,1.0
Default,br.com.swconsultoria.nfe.Epec,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.765625,27,21,3,6,0.0
Default,br.com.swconsultoria.nfe.schema_4.consReciNFe.TInfRespTec,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,135,135,22,59,0.6521739130434783
Default,br.com.swconsultoria.nfe.schema_4.enviNFe.TEnviNFe,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.975,78,75,11,32,1.0
Default,br.com.swconsultoria.nfe.schema_4.inutNFe.TUf,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.925,20,14,4,5,1.0
Default,br.com.swconsultoria.nfe.schema.envcce.TEvento,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,424,424,37,107,0.7972972972972973
Default,br.com.swconsultoria.nfe.schema.retEnvEpec.TransformsType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,21,18,2,9,1.0
Default,br.com.swconsultoria.nfe.schema.cce.X509DataType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,20,20,3,10,1.0
Default,br.com.swconsultoria.nfe.schema.eventoCancSubst.SignedInfoType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,108,108,13,36,1.0
Default,br.com.swconsultoria.nfe.schema_4.retConsReciNFe.TConsReciNFe,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,62,62,9,24,1.0
Default,br.com.swconsultoria.nfe.Status,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5110119047619047,47,20,3,11,0.0
Default,br.com.swconsultoria.nfe.schema_4.retConsReciNFe.TEnviNFe,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.975,78,75,11,33,1.0
Default,br.com.swconsultoria.nfe.schema.retConsCad.TUfCons,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.925,20,14,4,5,1.0
Default,br.com.swconsultoria.nfe.schema.envEpec.SignatureValueType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,35,35,7,24,0.5
Default,br.com.swconsultoria.nfe.schema.envEventoCancNFe.SignatureType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,62,62,9,26,1.0
Default,br.com.swconsultoria.nfe.schema.eventoCancSubst.TUf,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.925,20,14,4,5,1.0
Default,br.com.swconsultoria.certificado.TipoCertificadoEnum,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,0,0,0,0,1.0
Default,br.com.swconsultoria.nfe.schema.envEpec.TEnvEvento,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.96875,55,52,8,25,1.0
Default,br.com.swconsultoria.nfe.schema.cce.TransformsType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,21,18,2,9,1.0
Default,br.com.swconsultoria.nfe.schema_4.inutNFe.TProcInutNFe,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,48,48,7,20,1.0
Default,br.com.swconsultoria.nfe.schema.eventoSuframaVistoria.SignatureType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,62,62,10,29,0.75
Default,br.com.swconsultoria.nfe.schema_4.retEnviNFe.TIpi,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,271,271,32,93,0.7835051546391752
Default,br.com.swconsultoria.nfe.schema_4.retEnviNFe.TNfeProc,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,48,48,7,20,1.0
Default,br.com.swconsultoria.nfe.schema_4.consStatServ.TRetConsStatServ,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,335,335,30,80,1.0
Default,br.com.swconsultoria.nfe.schema_4.consReciNFe.TProtNFe,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,365,365,24,74,0.8865979381443299
Default,br.com.swconsultoria.nfe.schema.envcce.TUf,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.925,20,14,4,5,1.0
